,Postal_Code,15to17,18&19,20,21,22to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,18-29 yo,total pop,% YA,% YA (bin),total pop (bin)
77,30046,1710,737,558,386,2031,2443,2630,2588,2678,2594,1944,2326,6155,22625,27.204419889502763,25-35,20-30
78,31415,497,251,135,174,630,1052,951,609,489,665,823,727,2242,7003,32.0148507782379,25-35,<10
79,30601,641,562,1120,1253,3144,2421,1721,1280,1161,1209,1175,1096,8500,16783,50.64648751713043,45-55,10-20
80,30144,2029,3804,2259,2186,3426,4843,3519,3338,3877,3881,3197,2935,16518,39294,42.036952206443736,35-45,30-40
81,30313,182,3070,1644,1170,1171,662,659,404,327,421,419,304,7717,10433,73.96721939998083,>65,10-20
82,30213,1707,540,242,356,1672,1955,2350,3065,1951,2081,1891,1848,4765,19658,24.23949537084139,<25,10-20
83,30324,450,312,129,212,2044,4949,3225,2155,2098,1233,1564,1356,7646,19727,38.75906118517767,35-45,10-20
84,30528,1187,674,419,168,960,1305,1218,1278,1259,1689,1800,2125,3526,14082,25.03905695213748,25-35,10-20
85,30607,556,206,197,205,359,815,775,1174,868,677,639,494,1782,6965,25.585068198133527,25-35,<10
86,30307,580,400,71,79,778,2614,2111,1559,1694,1539,1378,1110,3942,13913,28.333213541292317,25-35,10-20
87,30519,2366,1713,600,432,1739,2568,2842,3133,4099,3771,3385,2734,7052,29382,24.001089102171395,<25,20-30
88,30083,2415,1894,908,754,2494,4736,3954,4767,4008,3728,4077,3741,10786,37476,28.78108656206639,25-35,30-40
89,30324,450,312,129,212,2044,4949,3225,2155,2098,1233,1564,1356,7646,19727,38.75906118517767,35-45,10-20
90,30307,580,400,71,79,778,2614,2111,1559,1694,1539,1378,1110,3942,13913,28.333213541292317,25-35,10-20
91,30030,752,886,322,381,529,1439,2115,2461,2104,2089,1545,1729,3557,16352,21.752690802348337,<25,10-20
92,30308,87,223,122,205,1183,3696,2737,1904,1210,1175,854,881,5429,14277,38.02619597954752,35-45,10-20
93,30084,800,663,442,371,846,2377,2779,2774,3333,2827,2843,2608,4699,22663,20.734236420597448,<25,20-30
94,30030,752,886,322,381,529,1439,2115,2461,2104,2089,1545,1729,3557,16352,21.752690802348337,<25,10-20
95,31401,310,2309,778,939,1984,2350,1655,831,807,685,716,1040,8360,14404,58.03943349069702,55-65,10-20
96,30075,2647,1060,324,346,1007,2417,3127,3456,3654,4514,4966,4144,5154,31662,16.2781883646011,<25,30-40
97,30030,752,886,322,381,529,1439,2115,2461,2104,2089,1545,1729,3557,16352,21.752690802348337,<25,10-20
98,30240,1433,783,431,536,1252,1870,1863,1892,1626,1823,2209,1899,4872,17617,27.655105863654423,25-35,10-20
